RelativeDistance_1_rate,RelativeDistance_1_magnitude,RelativeDistance_1_mean,RelativeDistance_1_start,RelativeDistance_1_confidence,result
-0.6710166208057082,-13.420332416114165,10.515521771335541,5.0,0.34802520574829476,1
-0.6753257738222065,-13.506515476444129,15.410701150255278,15.0,0.9898106232419613,1
-0.47178280920120697,-15.56883270363983,14.649572274795434,30.0,0.5908990309674917,1
0.2330149538672988,18.874211263251205,15.790838151828222,10.0,0.18690945883588886,0
-0.02840487938724146,-1.9599366777196607,21.974455689516443,30.0,0.4904408382049267,0
-0.628969761193694,-18.240123074617124,12.551436445440679,20.0,0.9681334877217471,1
0.5960106635044875,50.66090639788143,24.954714394544943,15.0,0.04978706836786395,0
-0.4265276235038691,-15.354994446139287,14.009169823144791,25.0,0.9365497281526803,1
-0.9687778081534473,-19.375556163068946,15.476934487941222,15.0,0.5406795775849911,1
-0.9620026742476149,-22.12606150769514,12.099614243450763,20.0,0.9610626380603515,1
0.1762129969051113,10.396566817401567,12.709932634174574,20.0,0.12974213671598075,0
-0.6684754012251991,-18.048835833080375,14.636164248913527,5.0,0.8105056282185127,1
-0.18703713010588857,-13.466673367623978,12.44981794485351,20.0,0.2708856674973567,0
-0.47632069451614056,-20.481789864194045,12.000198287778339,10.0,0.9674609384078235,1
,,,,,1
-1.027614701934238,-17.469449932882046,9.202889838387645,35.0,0.3463020134170464,1
-0.5322828722770501,-20.226749146527904,16.402048827300586,20.0,0.5346911126136669,1
-0.6123551961592066,-18.3706558847762,12.858525485959131,20.0,0.6536716392724634,1
-0.03037991769715736,-2.18735407419533,20.65064062390438,5.0,0.32236726940129384,0
-0.01581899036128081,-0.8067685084253213,22.684150021393002,40.0,0.3969358601289812,0
-0.15080193951605933,-4.071652366933602,15.129971530467515,10.0,0.42430402209085033,1
-0.22635401840475092,-2.0371861656427583,9.805209177125805,15.0,0.19363551964292783,1
0.22771561238293422,2.5048717362122765,8.501452223009776,25.0,0.19643282079922186,1
-0.8192273390594654,-19.66145613742717,12.222480319593629,15.0,0.6522476140236118,1
-0.6196213282175554,-17.34939719009155,12.766662570787668,5.0,0.8065560600266912,1
-0.9770291175999736,-12.701378528799657,19.112566598782408,25.0,0.7890808447778705,1
-0.8697363693581102,-13.915781909729763,11.270141651640445,20.0,0.2411220021670816,1
-0.07640707246707482,-6.571008232168435,19.496672602484022,5.0,0.5000104165660169,0
-0.9121337402553119,-13.682006103829679,16.51241015244678,5.0,0.19774720233175275,1
-0.8234190793119914,-26.349410537983726,16.58534927848065,10.0,0.15890357559188742,1
-0.7334653716234484,-16.136238175715864,15.435332139242398,5.0,0.9908927636761368,1
